Video ID,Session,View Count,Like Count,Comment Count,Video Category,Video Published At
mb5ldcr1jbA,1,273046,1273,0,Info,2024-10-21 19:10:34
rtLGwJF9Jxc,1,93939,568,0,Recreation,2024-10-21 18:45:33
HAOgdVdSSkA,1,647685,0,6,Info,2024-10-21 18:41:24
WWeOBvAvwrY,1,41646,6085,998,Info,2024-10-21 18:31:26
WunqF6zQnbI,1,52315,1747,27,Info,2024-10-21 18:10:08
rm4qj0SJKKE,1,21139,1824,88,Info,2024-10-21 20:26:07
uDvNq7vtGnM,1,4750,176,39,Recreation,2024-10-21 17:38:38
p8SIBaDl9PE,1,71933,900,0,Info,2024-10-21 17:37:58
q_V96gv_IDA,1,101042,1303,0,Info,2024-10-21 17:34:17
TS6wQl2Gq_Y,1,11717,500,1,Info,2024-10-21 17:24:21
CQMZndfGRWI,1,21155,2984,54,Recreation,2024-10-21 20:12:23
qX6MAp5qQrU,1,115065,6930,100,Info,2024-10-21 16:56:12
tcAExHTclc4,1,9163,70,0,Recreation,2024-10-21 16:22:16
95RPXz_h2Fw,1,12727,2627,163,Recreation,2024-10-21 16:13:57
6kKE4Rurmmk,1,7085,693,77,Recreation,2024-10-21 16:11:11
YRyo5vL6XsI,1,38117,5411,81,Recreation,2024-10-21 16:07:27
Y8hZ5i0TGIs,1,149058,1126,135,Info,2024-10-21 15:52:42
JrD7QKy8PUI,1,424,20,1,Info,2024-10-21 15:51:16
f7v8WJgChU8,1,440,10,0,Recreation,2024-10-21 15:30:18
zToiY455lhQ,1,727135,125240,2512,Recreation,2024-10-21 15:06:25
uDVNRYxIMRE,1,75001,352,0,Recreation,2024-10-21 15:00:59
Yfcs9OPrQz8,1,147531,731,0,Info,2024-10-21 15:01:13
-n0waD4qzI4,1,16245,412,6,Recreation,2024-10-21 15:00:06
qfih0r0sq0c,1,27509,1079,7,Info,2024-10-21 14:44:32
NUzGaZkGTu4,1,81342,395,0,Recreation,2024-10-21 14:45:49
I1cPbwuMc3U,1,242422,636,2,Info,2024-10-21 14:29:42
3s6uanj_5DY,1,9183,679,70,Recreation,2024-10-21 14:26:44
XzW21Dj6PIQ,1,2235,217,3,Recreation,2024-10-21 14:15:02
bD-R-2DPzuc,1,602925,14554,216,Info,2024-10-21 14:05:31
f-Dvm17aVxk,1,9425,303,38,Recreation,2024-10-21 14:00:42
RzQpDaa2044,1,2198551,31306,34,Recreation,2024-10-21 13:32:11
Gs1r0uzedBw,1,1462,196,3,Info,2024-10-21 13:31:20
F4oaCRpuCtU,1,45654,334,48,Info,2024-10-21 13:28:10
ng_xV81XhHM,1,6365,35,56,Info,2024-10-21 13:03:08
yGLEpVbJm40,1,1073201,29701,7367,Info,2024-10-21 13:01:10
lKwo4S2VA3c,1,43167,245,4,Info,2024-10-21 13:01:47
T0sPOtCwXio,1,1093,275,15,Info,2024-10-21 12:55:26
6iG4Zp8HLOA,1,220840,4425,0,Info,2024-10-21 12:52:07
E-TA8hJIUk8,1,8472,297,19,Recreation,2024-10-21 12:40:42
gE4eK3He-7w,1,111335,3326,0,Info,2024-10-21 20:09:19
qWDt3sCTGFg,1,44174,2530,83,Recreation,2024-10-21 12:30:46
zZsgnPmP6lg,1,36540,3736,19,Info,2024-10-21 12:16:34
PYJ4do-OZAQ,1,94314,1700,0,Recreation,2024-10-21 12:11:16
_AlZYvis4uE,1,215762,1961,0,Recreation,2024-10-21 12:09:45
Nks9y_kpofE,1,24255,358,2,Info,2024-10-21 12:08:52
sMY2RlXdreo,1,30083,4590,166,Recreation,2024-10-21 12:01:12
u5us4Y5Q4AY,1,3224,672,9,Info,2024-10-21 12:01:11
jX9vfyAyELE,1,529,6,1,Recreation,2024-10-21 12:00:06
IXq9Ex6qLxY,1,22119,1090,87,Recreation,2024-10-21 11:53:17
00-9NCfhVF8,1,12343,1634,28,Recreation,2024-10-21 11:50:09
mb5ldcr1jbA,2,275310,1279,0,Info,2024-10-21 19:10:34
rtLGwJF9Jxc,2,95521,572,0,Recreation,2024-10-21 18:45:33
HAOgdVdSSkA,2,650384,0,6,Info,2024-10-21 18:41:24
WWeOBvAvwrY,2,52620,6972,1173,Info,2024-10-21 18:31:26
WunqF6zQnbI,2,56002,1824,38,Info,2024-10-21 18:10:08
rm4qj0SJKKE,2,41829,1652,129,Info,2024-10-21 20:26:07
uDvNq7vtGnM,2,5025,182,40,Recreation,2024-10-21 17:38:38
p8SIBaDl9PE,2,72208,901,0,Info,2024-10-21 17:37:58
q_V96gv_IDA,2,104421,1338,0,Info,2024-10-21 17:34:17
TS6wQl2Gq_Y,2,11791,506,2,Info,2024-10-21 17:24:21
CQMZndfGRWI,2,30472,3527,128,Recreation,2024-10-21 20:12:23
qX6MAp5qQrU,2,117156,7012,103,Info,2024-10-21 16:56:12
tcAExHTclc4,2,9268,75,0,Recreation,2024-10-21 16:22:16
95RPXz_h2Fw,2,13125,2707,176,Recreation,2024-10-21 16:13:57
6kKE4Rurmmk,2,7483,704,82,Recreation,2024-10-21 16:11:11
YRyo5vL6XsI,2,38703,5485,84,Recreation,2024-10-21 16:07:27
Y8hZ5i0TGIs,2,149639,1134,144,Info,2024-10-21 15:52:42
JrD7QKy8PUI,2,413,20,1,Info,2024-10-21 15:51:16
f7v8WJgChU8,2,440,10,0,Recreation,2024-10-21 15:30:18
zToiY455lhQ,2,807003,132297,2574,Recreation,2024-10-21 15:06:25
uDVNRYxIMRE,2,75634,354,0,Recreation,2024-10-21 15:00:59
Yfcs9OPrQz8,2,154476,740,0,Info,2024-10-21 15:01:13
-n0waD4qzI4,2,17718,401,6,Recreation,2024-10-21 15:00:06
qfih0r0sq0c,2,27599,1082,7,Info,2024-10-21 14:44:32
NUzGaZkGTu4,2,81752,395,0,Recreation,2024-10-21 14:45:49
I1cPbwuMc3U,2,242588,637,2,Info,2024-10-21 14:29:42
3s6uanj_5DY,2,9482,687,72,Recreation,2024-10-21 14:26:44
XzW21Dj6PIQ,2,2459,226,3,Recreation,2024-10-21 14:15:02
bD-R-2DPzuc,2,616602,14659,217,Info,2024-10-21 14:05:31
f-Dvm17aVxk,2,10543,322,43,Recreation,2024-10-21 14:00:42
RzQpDaa2044,2,2200674,31311,34,Recreation,2024-10-21 13:32:11
Gs1r0uzedBw,2,1572,209,3,Info,2024-10-21 13:31:20
F4oaCRpuCtU,2,46596,338,51,Info,2024-10-21 13:28:10
ng_xV81XhHM,2,6374,35,56,Info,2024-10-21 13:03:08
yGLEpVbJm40,2,1164984,31060,7651,Info,2024-10-21 13:01:10
lKwo4S2VA3c,2,43787,247,4,Info,2024-10-21 13:01:47
T0sPOtCwXio,2,1151,284,15,Info,2024-10-21 12:55:26
6iG4Zp8HLOA,2,224834,4459,0,Info,2024-10-21 12:52:07
E-TA8hJIUk8,2,9221,307,21,Recreation,2024-10-21 12:40:42
gE4eK3He-7w,2,128896,3440,0,Info,2024-10-21 20:09:19
qWDt3sCTGFg,2,45434,2604,83,Recreation,2024-10-21 12:30:46
zZsgnPmP6lg,2,36639,3743,19,Info,2024-10-21 12:16:34
PYJ4do-OZAQ,2,109951,1828,0,Recreation,2024-10-21 12:11:16
_AlZYvis4uE,2,240438,2063,0,Recreation,2024-10-21 12:09:45
Nks9y_kpofE,2,24275,359,2,Info,2024-10-21 12:08:52
sMY2RlXdreo,2,30750,4721,168,Recreation,2024-10-21 12:01:12
u5us4Y5Q4AY,2,3499,723,11,Info,2024-10-21 12:01:11
jX9vfyAyELE,2,529,6,1,Recreation,2024-10-21 12:00:06
IXq9Ex6qLxY,2,22242,1092,87,Recreation,2024-10-21 11:53:17
00-9NCfhVF8,2,12428,1645,29,Recreation,2024-10-21 11:50:09
mb5ldcr1jbA,3,276646,1281,0,Info,2024-10-21 19:10:34
rtLGwJF9Jxc,3,96689,579,0,Recreation,2024-10-21 18:45:33
HAOgdVdSSkA,3,651497,0,6,Info,2024-10-21 18:41:24
WWeOBvAvwrY,3,63200,7551,1300,Info,2024-10-21 18:31:26
WunqF6zQnbI,3,58698,1897,45,Info,2024-10-21 18:10:08
rm4qj0SJKKE,3,51251,1837,156,Info,2024-10-21 20:26:07
uDvNq7vtGnM,3,5242,189,42,Recreation,2024-10-21 17:38:38
p8SIBaDl9PE,3,72317,901,0,Info,2024-10-21 17:37:58
q_V96gv_IDA,3,107859,1354,0,Info,2024-10-21 17:34:17
TS6wQl2Gq_Y,3,11850,509,3,Info,2024-10-21 17:24:21
CQMZndfGRWI,3,35153,3938,154,Recreation,2024-10-21 20:12:23
qX6MAp5qQrU,3,119167,7069,116,Info,2024-10-21 16:56:12
tcAExHTclc4,3,9364,75,0,Recreation,2024-10-21 16:22:16
95RPXz_h2Fw,3,13567,2836,196,Recreation,2024-10-21 16:13:57
6kKE4Rurmmk,3,7859,720,92,Recreation,2024-10-21 16:11:11
YRyo5vL6XsI,3,39361,5548,87,Recreation,2024-10-21 16:07:27
Y8hZ5i0TGIs,3,149987,1144,152,Info,2024-10-21 15:52:42
JrD7QKy8PUI,3,424,20,1,Info,2024-10-21 15:51:16
f7v8WJgChU8,3,454,11,0,Recreation,2024-10-21 15:30:18
zToiY455lhQ,3,865426,138635,2633,Recreation,2024-10-21 15:06:25
uDVNRYxIMRE,3,76243,356,0,Recreation,2024-10-21 15:00:59
Yfcs9OPrQz8,3,159445,750,0,Info,2024-10-21 15:01:13
-n0waD4qzI4,3,18768,406,7,Recreation,2024-10-21 15:00:06
qfih0r0sq0c,3,27733,1084,8,Info,2024-10-21 14:44:32
NUzGaZkGTu4,3,82074,397,0,Recreation,2024-10-21 14:45:49
I1cPbwuMc3U,3,242663,637,2,Info,2024-10-21 14:29:42
3s6uanj_5DY,3,9710,692,73,Recreation,2024-10-21 14:26:44
XzW21Dj6PIQ,3,2628,238,3,Recreation,2024-10-21 14:15:02
bD-R-2DPzuc,3,622502,14718,217,Info,2024-10-21 14:05:31
f-Dvm17aVxk,3,11324,337,44,Recreation,2024-10-21 14:00:42
RzQpDaa2044,3,2202044,31318,34,Recreation,2024-10-21 13:32:11
Gs1r0uzedBw,3,1667,220,3,Info,2024-10-21 13:31:20
F4oaCRpuCtU,3,47391,347,54,Info,2024-10-21 13:28:10
ng_xV81XhHM,3,6407,36,56,Info,2024-10-21 13:03:08
yGLEpVbJm40,3,1244587,32284,7746,Info,2024-10-21 13:01:10
lKwo4S2VA3c,3,44225,248,6,Info,2024-10-21 13:01:47
T0sPOtCwXio,3,1204,294,15,Info,2024-10-21 12:55:26
6iG4Zp8HLOA,3,228254,4471,0,Info,2024-10-21 12:52:07
E-TA8hJIUk8,3,9925,317,21,Recreation,2024-10-21 12:40:42
gE4eK3He-7w,3,136614,3491,0,Info,2024-10-21 20:09:19
qWDt3sCTGFg,3,47320,2708,86,Recreation,2024-10-21 12:30:46
zZsgnPmP6lg,3,36768,3750,20,Info,2024-10-21 12:16:34
PYJ4do-OZAQ,3,120397,2008,27,Recreation,2024-10-21 22:35:01
_AlZYvis4uE,3,265181,2144,26,Recreation,2024-10-21 22:21:01
Nks9y_kpofE,3,24289,360,2,Info,2024-10-21 12:08:52
sMY2RlXdreo,3,31693,4908,173,Recreation,2024-10-21 12:01:12
u5us4Y5Q4AY,3,3793,781,12,Info,2024-10-21 12:01:11
jX9vfyAyELE,3,713,6,1,Recreation,2024-10-21 12:00:06
IXq9Ex6qLxY,3,22349,1101,88,Recreation,2024-10-21 11:53:17
00-9NCfhVF8,3,12514,1650,29,Recreation,2024-10-21 11:50:09
mb5ldcr1jbA,4,277496,1287,0,Info,2024-10-21 19:10:34
rtLGwJF9Jxc,4,97763,580,0,Recreation,2024-10-21 18:45:33
HAOgdVdSSkA,4,652396,0,6,Info,2024-10-21 18:41:24
WWeOBvAvwrY,4,69873,7931,1387,Info,2024-10-21 18:31:26
WunqF6zQnbI,4,60872,1953,51,Info,2024-10-21 18:10:08
rm4qj0SJKKE,4,56860,1784,210,Info,2024-10-21 20:26:07
uDvNq7vtGnM,4,5425,192,45,Recreation,2024-10-21 17:38:38
p8SIBaDl9PE,4,72396,902,0,Info,2024-10-21 17:37:58
q_V96gv_IDA,4,110246,1361,0,Info,2024-10-21 17:34:17
TS6wQl2Gq_Y,4,11949,510,3,Info,2024-10-21 17:24:21
CQMZndfGRWI,4,39019,4298,184,Recreation,2024-10-21 20:12:23
qX6MAp5qQrU,4,120798,7109,118,Info,2024-10-21 16:56:12
tcAExHTclc4,4,9428,75,0,Recreation,2024-10-21 16:22:16
95RPXz_h2Fw,4,14104,2951,219,Recreation,2024-10-21 16:13:57
6kKE4Rurmmk,4,8142,732,96,Recreation,2024-10-21 16:11:11
YRyo5vL6XsI,4,39878,5599,88,Recreation,2024-10-21 16:07:27
Y8hZ5i0TGIs,4,150463,1168,164,Info,2024-10-21 15:52:42
JrD7QKy8PUI,4,436,21,1,Info,2024-10-21 15:51:16
f7v8WJgChU8,4,458,12,0,Recreation,2024-10-21 15:30:18
zToiY455lhQ,4,914746,144201,2665,Recreation,2024-10-21 15:06:25
uDVNRYxIMRE,4,76738,359,0,Recreation,2024-10-21 15:00:59
Yfcs9OPrQz8,4,162136,758,0,Info,2024-10-21 15:01:13
-n0waD4qzI4,4,19287,410,7,Recreation,2024-10-21 15:00:06
qfih0r0sq0c,4,27896,1084,8,Info,2024-10-21 14:44:32
NUzGaZkGTu4,4,82307,397,0,Recreation,2024-10-21 14:45:49
I1cPbwuMc3U,4,242780,636,2,Info,2024-10-21 14:29:42
3s6uanj_5DY,4,9883,700,74,Recreation,2024-10-21 14:26:44
XzW21Dj6PIQ,4,2754,246,3,Recreation,2024-10-21 14:15:02
bD-R-2DPzuc,4,625980,14768,217,Info,2024-10-21 14:05:31
f-Dvm17aVxk,4,12151,356,47,Recreation,2024-10-21 14:00:42
RzQpDaa2044,4,2202841,31322,35,Recreation,2024-10-21 13:32:11
Gs1r0uzedBw,4,1767,233,3,Info,2024-10-21 13:31:20
F4oaCRpuCtU,4,48181,363,54,Info,2024-10-21 13:28:10
ng_xV81XhHM,4,6427,37,56,Info,2024-10-21 13:03:08
yGLEpVbJm40,4,1314839,33231,7978,Info,2024-10-21 13:01:10
lKwo4S2VA3c,4,44606,250,6,Info,2024-10-21 13:01:47
T0sPOtCwXio,4,1236,303,15,Info,2024-10-21 12:55:26
6iG4Zp8HLOA,4,230085,4458,0,Info,2024-10-21 12:52:07
E-TA8hJIUk8,4,10252,321,22,Recreation,2024-10-21 12:40:42
gE4eK3He-7w,4,141423,3525,0,Info,2024-10-21 20:09:19
qWDt3sCTGFg,4,49160,2778,88,Recreation,2024-10-21 12:30:46
zZsgnPmP6lg,4,36876,3757,20,Info,2024-10-21 12:16:34
PYJ4do-OZAQ,4,141088,2095,85,Recreation,2024-10-21 22:35:01
_AlZYvis4uE,4,297948,2196,84,Recreation,2024-10-21 22:21:01
Nks9y_kpofE,4,24321,361,2,Info,2024-10-21 12:08:52
sMY2RlXdreo,4,33026,5065,176,Recreation,2024-10-21 12:01:12
u5us4Y5Q4AY,4,4062,821,12,Info,2024-10-21 12:01:11
jX9vfyAyELE,4,713,6,1,Recreation,2024-10-21 12:00:06
IXq9Ex6qLxY,4,22458,1109,93,Recreation,2024-10-21 11:53:17
00-9NCfhVF8,4,12620,1652,30,Recreation,2024-10-21 11:50:09
mb5ldcr1jbA,5,278589,1300,0,Info,2024-10-21 19:10:34
rtLGwJF9Jxc,5,98531,583,0,Recreation,2024-10-21 18:45:33
HAOgdVdSSkA,5,653621,0,6,Info,2024-10-21 18:41:24
WWeOBvAvwrY,5,74418,8148,1449,Info,2024-10-21 18:31:26
WunqF6zQnbI,5,62924,1997,57,Info,2024-10-21 18:10:08
rm4qj0SJKKE,5,61578,1864,217,Info,2024-10-21 20:26:07
uDvNq7vtGnM,5,5626,201,46,Recreation,2024-10-21 17:38:38
p8SIBaDl9PE,5,72525,909,0,Info,2024-10-21 17:37:58
q_V96gv_IDA,5,112124,1367,0,Info,2024-10-21 17:34:17
TS6wQl2Gq_Y,5,12093,515,3,Info,2024-10-21 17:24:21
CQMZndfGRWI,5,43260,4543,219,Recreation,2024-10-21 20:12:23
qX6MAp5qQrU,5,122491,7137,125,Info,2024-10-21 16:56:12
tcAExHTclc4,5,9462,75,0,Recreation,2024-10-21 16:22:16
95RPXz_h2Fw,5,14893,3069,259,Recreation,2024-10-21 16:13:57
6kKE4Rurmmk,5,8345,743,103,Recreation,2024-10-21 16:11:11
YRyo5vL6XsI,5,40391,5638,89,Recreation,2024-10-21 16:07:27
Y8hZ5i0TGIs,5,151358,1177,168,Info,2024-10-21 15:52:42
JrD7QKy8PUI,5,436,21,1,Info,2024-10-21 15:51:16
f7v8WJgChU8,5,458,12,0,Recreation,2024-10-21 15:30:18
zToiY455lhQ,5,966888,150192,2693,Recreation,2024-10-21 15:06:25
uDVNRYxIMRE,5,77298,362,0,Recreation,2024-10-21 15:00:59
Yfcs9OPrQz8,5,164610,777,0,Info,2024-10-21 15:01:13
-n0waD4qzI4,5,19758,422,7,Recreation,2024-10-21 15:00:06
qfih0r0sq0c,5,28034,1085,8,Info,2024-10-21 14:44:32
NUzGaZkGTu4,5,82533,398,0,Recreation,2024-10-21 14:45:49
I1cPbwuMc3U,5,242974,636,2,Info,2024-10-21 14:29:42
3s6uanj_5DY,5,10034,705,74,Recreation,2024-10-21 14:26:44
XzW21Dj6PIQ,5,2899,251,4,Recreation,2024-10-21 14:15:02
bD-R-2DPzuc,5,629930,14868,217,Info,2024-10-21 14:05:31
f-Dvm17aVxk,5,13126,379,49,Recreation,2024-10-21 14:00:42
RzQpDaa2044,5,2203419,31325,35,Recreation,2024-10-21 13:32:11
Gs1r0uzedBw,5,1885,238,3,Info,2024-10-21 13:31:20
F4oaCRpuCtU,5,49707,373,55,Info,2024-10-21 13:28:10
ng_xV81XhHM,5,6467,38,56,Info,2024-10-21 13:03:08
yGLEpVbJm40,5,1389338,34467,8220,Info,2024-10-21 13:01:10
lKwo4S2VA3c,5,44926,251,6,Info,2024-10-21 13:01:47
T0sPOtCwXio,5,1295,308,15,Info,2024-10-21 12:55:26
6iG4Zp8HLOA,5,231352,4471,0,Info,2024-10-21 12:52:07
E-TA8hJIUk8,5,10455,322,22,Recreation,2024-10-21 12:40:42
gE4eK3He-7w,5,144268,3553,0,Info,2024-10-21 20:09:19
qWDt3sCTGFg,5,51486,2832,88,Recreation,2024-10-21 12:30:46
zZsgnPmP6lg,5,36987,3763,20,Info,2024-10-21 12:16:34
PYJ4do-OZAQ,5,150645,2163,156,Recreation,2024-10-21 22:35:01
_AlZYvis4uE,5,307092,2246,108,Recreation,2024-10-21 22:21:01
Nks9y_kpofE,5,24348,361,2,Info,2024-10-21 12:08:52
sMY2RlXdreo,5,34695,5178,176,Recreation,2024-10-21 12:01:12
u5us4Y5Q4AY,5,4382,861,13,Info,2024-10-21 12:01:11
jX9vfyAyELE,5,877,9,2,Recreation,2024-10-21 12:00:06
IXq9Ex6qLxY,5,22613,1115,100,Recreation,2024-10-21 11:53:17
00-9NCfhVF8,5,12745,1659,30,Recreation,2024-10-21 11:50:09
mb5ldcr1jbA,6,280162,1323,1,Info,2024-10-21 19:10:34
rtLGwJF9Jxc,6,99000,583,0,Recreation,2024-10-21 18:45:33
HAOgdVdSSkA,6,655745,0,6,Info,2024-10-21 18:41:24
WWeOBvAvwrY,6,77061,8307,1483,Info,2024-10-21 18:31:26
WunqF6zQnbI,6,64619,2038,58,Info,2024-10-21 18:10:08
rm4qj0SJKKE,6,64794,1857,230,Info,2024-10-21 20:26:07
uDvNq7vtGnM,6,5840,205,51,Recreation,2024-10-21 17:38:38
p8SIBaDl9PE,6,72816,920,0,Info,2024-10-21 17:37:58
q_V96gv_IDA,6,113074,1369,0,Info,2024-10-21 17:34:17
TS6wQl2Gq_Y,6,12182,516,3,Info,2024-10-21 17:24:21
CQMZndfGRWI,6,46341,4720,247,Recreation,2024-10-21 20:12:23
qX6MAp5qQrU,6,123338,7160,127,Info,2024-10-21 16:56:12
tcAExHTclc4,6,9462,75,0,Recreation,2024-10-21 16:22:16
95RPXz_h2Fw,6,15775,3176,287,Recreation,2024-10-21 16:13:57
6kKE4Rurmmk,6,8509,757,112,Recreation,2024-10-21 16:11:11
YRyo5vL6XsI,6,40803,5669,91,Recreation,2024-10-21 16:07:27
Y8hZ5i0TGIs,6,152294,1194,170,Info,2024-10-21 15:52:42
JrD7QKy8PUI,6,444,23,1,Info,2024-10-21 15:51:16
f7v8WJgChU8,6,470,12,0,Recreation,2024-10-21 15:30:18
zToiY455lhQ,6,1011973,158729,2760,Recreation,2024-10-21 15:06:25
uDVNRYxIMRE,6,77917,365,0,Recreation,2024-10-21 15:00:59
Yfcs9OPrQz8,6,167471,816,0,Info,2024-10-21 15:01:13
-n0waD4qzI4,6,20253,438,7,Recreation,2024-10-21 15:00:06
qfih0r0sq0c,6,28189,1085,9,Info,2024-10-21 14:44:32
NUzGaZkGTu4,6,82745,398,0,Recreation,2024-10-21 14:45:49
I1cPbwuMc3U,6,243245,636,2,Info,2024-10-21 14:29:42
3s6uanj_5DY,6,10103,710,75,Recreation,2024-10-21 14:26:44
XzW21Dj6PIQ,6,3006,259,4,Recreation,2024-10-21 14:15:02
bD-R-2DPzuc,6,635786,15069,219,Info,2024-10-21 14:05:31
f-Dvm17aVxk,6,13731,390,52,Recreation,2024-10-21 14:00:42
RzQpDaa2044,6,2203789,31330,35,Recreation,2024-10-21 13:32:11
Gs1r0uzedBw,6,1954,244,3,Info,2024-10-21 13:31:20
F4oaCRpuCtU,6,51433,388,59,Info,2024-10-21 13:28:10
ng_xV81XhHM,6,6503,38,56,Info,2024-10-21 13:03:08
yGLEpVbJm40,6,1463322,35471,8436,Info,2024-10-21 13:01:10
lKwo4S2VA3c,6,45184,252,6,Info,2024-10-21 13:01:47
T0sPOtCwXio,6,1333,315,15,Info,2024-10-21 12:55:26
6iG4Zp8HLOA,6,232129,4480,0,Info,2024-10-21 12:52:07
E-TA8hJIUk8,6,10560,322,22,Recreation,2024-10-21 12:40:42
gE4eK3He-7w,6,146011,3574,0,Info,2024-10-21 20:09:19
qWDt3sCTGFg,6,52831,2885,89,Recreation,2024-10-21 12:30:46
zZsgnPmP6lg,6,37102,3773,20,Info,2024-10-21 12:16:34
PYJ4do-OZAQ,6,155562,2225,206,Recreation,2024-10-21 22:35:01
_AlZYvis4uE,6,312473,2267,131,Recreation,2024-10-21 22:21:01
Nks9y_kpofE,6,24383,362,2,Info,2024-10-21 12:08:52
sMY2RlXdreo,6,35858,5300,176,Recreation,2024-10-21 12:01:12
u5us4Y5Q4AY,6,4623,905,13,Info,2024-10-21 12:01:11
jX9vfyAyELE,6,949,9,2,Recreation,2024-10-21 12:00:06
IXq9Ex6qLxY,6,22749,1121,101,Recreation,2024-10-21 11:53:17
00-9NCfhVF8,6,12855,1666,30,Recreation,2024-10-21 11:50:09
